,tweet_id
271,534385880501616640
272,569859713074012161
273,537750817403850753
274,556951593824710656
275,567798921880403968
276,588730718483828737
277,564639038150569984
278,605474313135779840
279,568258348786814977
280,583827228758302720
281,605100763384127488
282,567425667449360385
283,611574294217420800
284,606438307610927104
285,581124389611167744
286,541752674413449217
287,550890656517079040
288,560977362146168832
289,578385020143951872
290,604123461498220544
291,594681876213796865
292,564407741704577024
293,561793390795587584
294,545784164361187328
295,589914070146539520
296,565994519154282496
297,595779070949986305
298,520016056740372480
299,600122519497154562
300,594744324333576192
301,589062795242573824
302,585074725497339904
303,526199781753098241
304,533056194680979457
305,591557074854793216
306,530512891183919104
307,530731641485131776
308,593198917916954624
309,551092898578853889
310,548951932786577408
311,545359458432339968
312,530802467291021312
313,579076699121328128
314,550848673006239744
315,569883118188011521
316,545480899018887168
317,573864458138820609
318,524652554320621571
319,524791183068127232
320,584752398029103104
321,572522151233892353
322,575490807362277377
323,546753470296887296
324,611302079886426112
325,576083789794902016
326,570753900816568320
327,585981768307580928
328,602851940184227841
329,576050437654085632
330,570750045173100544
331,547569287473659904
332,525820808854532096
333,536222367232831490
334,607268413736644609
335,590685056362029057
336,590665510947262464
337,553392806237339648
338,546878167135584256
339,597506792575225856
340,555495135291932672
341,526938262925873152
342,572946330777194496
343,589963914139586560
344,548537363732103168
345,580464038074826752
346,589551485052198915
347,579987621713190912
348,570785985853837312
349,604747305665765376
350,539952842904469504
351,581251556483342336
352,587415052577193984
353,581156129713049600
354,569690525630140417
355,553969751459127297
356,586250937301389313
357,603771376261029888
358,552886192816291840
359,514483312535293953
360,570938268377845760
361,523564005542342656
362,575003609894645760
363,534387156064948226
364,521016276240842752
365,523151684282101760
366,519868128499863552
367,575838218211430400
368,536570140830490625
369,581241289649352705
370,564998809714192385
371,615906136705757184
372,558663148908347392
373,587093508969930752
374,556361139953496064
375,518574070976512000
376,537097864930148352
377,591244804450684928
378,583758211204911104
379,564237347441881089
380,570775923378622464
381,600158093801041920
382,557397887450357762
383,598465657991073792
384,615524228968894464
385,525338894309785600
386,562805219546136577
387,551924784549081088
388,555561570143453185
389,584182821708820480
390,590199320391057408
391,537024799772798978
392,611721840478687232
393,518118627225387008
394,609358283116146688
395,560155517780115456
396,585457619634118656
397,590987805096071168
398,553537976245161984
399,613800401171656704
400,549235059476021249
401,584177502903492608
402,552918655026335745
403,565745694493773825
404,557348776566747136
405,541079754011856896
406,575321639744745472
407,537806194006839296
408,547655893090070528
409,530822970244366336
410,552944285474369536
411,606639751395962880
412,561372524785979392
413,554737484949889025
414,573585649443336192
415,539418921636352001
416,560892333945016320
417,591645297916252161
418,589713417205755904
419,528138585409478657
420,596370149520875522
421,551595234480496641
422,583125345081040896
423,517706173760671744
424,550132684286992385
425,590947703770710016
426,533726541176647680
427,571476299912486912
428,613584084539994112
429,605566148999020544
430,572791833132212224
431,557563097809178624
432,581278177001078784
433,587377869548081152
434,584513556437172224
435,555047447761022976
436,532343543579541504
437,518785084548448256
438,560479895189323777
439,528646140552806401
440,548495549796999170
441,535522063709372417
442,597045191065874432
443,555576219333193728
